id;created;type;status;call_sign;latitude;longitude;resource_break_id
1;2024-03-04T00:33:41;MANAGEMENT;ONSCENE;hacking Toys;84587;6481;1
2;2024-03-04T12:55:15;TREATMENTCENTRE;ENROUTE;Shoes;57878;4781;2
3;2024-03-03T22:05:55;CYCLERESPONSE;GREEN;Web;99993;76663;3
4;2024-03-04T02:37:27;MANAGEMENT;GREEN;calculating red Product;52358;74408;4
5;2024-03-04T07:08:15;FOOTTEAM;GREEN;Licensed PCI;44816;68132;5
6;2024-03-04T06:40:56;TREATMENTCENTRE;GREEN;Connecticut;4094;83093;6
7;2024-03-03T18:53:58;AMBULANCE;CLEAR;Centralized Chief Fantastic;41058;95069;7
8;2024-03-04T07:06:59;FOOTTEAM;CLEAR;bypass Berkshire;7680;50707;8
9;2024-03-04T06:54:25;AMBULANCE;GREEN;fresh-thinking Plastic;70481;34452;9
10;2024-03-03T19:26:41;CYCLERESPONSE;ONSCENE;Borders Music Global;5223;78681;10
