id;call_recieved_time;on_scene_time;left_scene_time;arrived_hospital_time;clear_hospital_time;green_time;un_assigned_time
1;2024-03-04T09:22:59;2024-03-03T21:27:55;2024-03-04T17:21:05;2024-03-04T14:57:11;2024-03-04T05:48:36;2024-03-03T20:55:58;2024-03-04T07:01:53
2;2024-03-04T14:50:00;2024-03-04T14:02:44;2024-03-04T11:48:31;2024-03-03T20:33:50;2024-03-04T16:41:48;2024-03-04T11:51:29;2024-03-03T23:32:40
3;2024-03-04T09:22:33;2024-03-04T06:43:40;2024-03-04T07:36:19;2024-03-04T13:55:42;2024-03-03T18:17:00;2024-03-03T19:42:08;2024-03-04T10:58:21
4;2024-03-03T22:54:24;2024-03-03T22:42:30;2024-03-04T15:54:37;2024-03-03T18:29:17;2024-03-04T17:42:43;2024-03-04T14:37:44;2024-03-04T03:23:38
5;2024-03-03T22:20:50;2024-03-04T03:01:12;2024-03-03T21:44:16;2024-03-04T04:03:37;2024-03-04T09:57:17;2024-03-04T11:58:09;2024-03-04T06:18:39
6;2024-03-04T11:28:30;2024-03-03T20:32:59;2024-03-03T18:17:04;2024-03-04T14:06:15;2024-03-04T17:41:44;2024-03-03T21:24:28;2024-03-03T19:40:10
7;2024-03-03T22:04:22;2024-03-04T17:33:27;2024-03-04T15:26:06;2024-03-04T14:34:24;2024-03-04T14:15:02;2024-03-04T10:54:24;2024-03-03T23:00:27
8;2024-03-03T19:49:00;2024-03-04T09:35:20;2024-03-04T11:44:03;2024-03-04T12:49:02;2024-03-04T12:05:48;2024-03-03T21:40:41;2024-03-04T05:05:48
9;2024-03-04T13:37:21;2024-03-04T14:35:40;2024-03-03T18:59:12;2024-03-04T17:39:25;2024-03-04T04:50:39;2024-03-04T07:02:36;2024-03-04T13:38:10
10;2024-03-04T02:57:09;2024-03-04T07:18:18;2024-03-04T11:25:08;2024-03-04T00:43:47;2024-03-03T23:54:31;2024-03-03T20:28:33;2024-03-04T04:55:12
