id;last_break;break_requested;started_break;on_break
1;2024-03-04T02:40:05;true;2024-03-03T17:52:21;true
2;2024-03-03T18:11:54;false;2024-03-04T08:22:45;true
3;2024-03-04T12:50:25;false;2024-03-04T13:19:38;true
4;2024-03-04T08:02:58;false;2024-03-04T14:00:33;true
5;2024-03-04T13:10:17;true;2024-03-04T08:21:54;false
6;2024-03-04T08:42:15;false;2024-03-04T16:21:24;false
7;2024-03-03T19:59:35;false;2024-03-04T02:04:55;true
8;2024-03-04T13:08:49;false;2024-03-04T15:10:34;false
9;2024-03-04T16:24:24;false;2024-03-03T19:39:50;true
10;2024-03-04T14:24:23;true;2024-03-03T23:44:35;false
